,popularity
139661,51
32673,52
144530,0
10262,81
16144,67
137350,41
42801,0
44422,7
45349,11
118112,31
81502,14
134597,28
148760,24
154633,41
50442,38
42650,2
84048,30
33873,56
126495,74
1979,8
56887,2
29453,45
114784,15
40013,0
21176,0
163840,21
41643,0
14368,66
24667,9
60799,0
139202,0
4380,0
48453,42
108142,53
85568,38
160577,0
96414,0
108809,0
18718,71
121427,37
52387,51
92014,60
98927,21
69143,39
159759,0
74791,0
144766,1
55567,1
112405,0
79274,0
16353,68
22,0
170523,40
2563,13
163929,22
103744,35
174129,65
12258,50
131417,16
125888,0
34624,49
94050,0
133828,24
7095,50
690,2
40746,1
156053,51
154836,42
46909,29
20073,34
133638,25
62523,4
66687,33
77812,0
1635,0
108444,55
42672,0
25679,6
102519,40
28518,35
142497,66
77608,0
31291,47
122937,39
146690,12
140815,5
28209,37
141600,15
43014,1
95706,0
108559,0
41029,1
161158,0
7959,40
158647,67
71018,45
144470,1
164998,23
73713,5
144459,0
65256,27
68778,36
80228,0
137692,39
90511,0
78991,0
54640,60
7152,36
77086,0
159514,0
74604,66
26525,9
26589,28
149991,25
82646,16
142033,65
5358,11
35557,0
86454,32
51738,43
94336,0
167672,27
131,0
12321,67
159016,0
133916,26
84150,30
12592,51
113009,0
7060,19
95293,0
171016,0
50881,45
44336,6
56496,57
91048,55
135976,28
50130,36
143826,0
12068,66
139961,55
101576,35
10930,59
39508,0
162754,15
98396,12
24612,0
145129,0
73264,49
81366,14
96435,0
58281,41
36385,0
130566,7
85278,32
27576,28
26933,37
64788,26
100176,33
45613,17
18486,84
36488,64
91430,52
161576,5
135201,26
168151,24
172938,0
43827,0
9520,52
123426,56
155440,46
77881,0
92143,0
85732,32
38978,73
164159,19
117119,31
139361,45
54,0
14519,58
144253,0
76856,1
155306,46
114373,15
113885,9
36792,58
128857,1
171491,57
15570,59
35907,0
20269,0
76214,74
23164,0
95414,0
61896,0
160334,0
142,1
91312,54
163961,21
84257,29
106812,58
10626,48
41453,0
104557,46
53815,42
146221,11
59283,0
73925,0
124217,48
60337,0
99684,29
167811,26
114011,13
98418,10
81146,15
107831,0
40836,0
47063,30
8395,45
34883,53
12305,57
43863,0
122960,43
50953,46
133408,24
169254,37
8262,81
152851,35
142665,66
106282,48
74253,9
12889,66
92160,53
107704,0
83013,26
15669,71
58682,0
139580,0
20624,0
65440,25
108328,57
138704,40
52578,39
136192,23
38264,73
84823,25
97708,11
98160,18
170959,0
62285,1
43651,0
140152,52
